lang,rare_mode,avg_len,entropy,unconditional_entropy,test_loss,test_acc,best_epoch,val_loss,val_acc,embedding_size,hidden_size,word2vec_size,nlayers,dropout
por,,5.659666460778258,0.8081238416081306,0.8081238416081306,0.5888352568556623,0.8536585365853658,12,0.2579920799095438,0.9503105590062112,233,79,14,2,0.012449613775174007
spa,,5.678959810874704,0.8795589611561756,0.8795589611561756,0.7093059584151867,0.8232558139534883,12,0.5177157404320092,0.8851674641148325,98,122,255,2,0.15006772779677682
ger_v,,4.759770114942529,2.323901047769409,2.323901047769409,1.6456962503412718,0.5913978494623656,14,1.774875833874657,0.5238095238095238,83,115,15,1,0.27062676102735495
ger_n,drop,5.866449511400652,2.1731197713971913,2.881845377155586,1.622660399109047,0.6509186351706037,23,1.6246848409347112,0.6546961325966851,250,54,193,1,0.4216236712115382
ger_n,group,5.868542061130647,2.195603718314737,2.9054402181263455,1.5973088784877687,0.6527415143603134,8,1.5444491842233117,0.6336088154269972,178,251,1,1,0.4517266190825559
cze,drop,6.289670658682635,1.3506802710361239,2.747303418330281,0.5672224862803621,0.8736462093862816,44,0.4786365178363924,0.8816793893129771,165,41,3,1,0.43236034304353627
cze,group,6.278545454545455,1.4913231102836453,2.8554979001054175,0.7014345720514551,0.8636363636363636,48,0.6189859615271862,0.8736059479553904,86,32,15,1,0.29561568137691674
ara,drop,7.634057971014493,4.348431061626104,5.097312121317402,1.0914472398596413,0.7231222385861561,16,1.1928661626790944,0.7214983713355049,122,162,23,2,0.35986970538442087
ara,group,7.626956521739129,4.380736251643638,5.091706341814279,1.254096109850877,0.7006802721088435,10,1.2527274511676554,0.7085201793721974,170,235,33,2,0.33996453989172615
ger_n-sing,drop,5.876607387140903,0.5822410438490896,1.1921076060843405,0.4044587334320151,0.9105691056910569,7,0.3730800530903942,0.9203296703296703,187,105,131,1,0.16397628514483498
ger_n-sing,group,5.878308321964529,0.6036696373427834,1.2160265332994615,0.5344613925830738,0.8837837837837837,14,0.42019560141106177,0.9123287671232877,5,219,18,2,0.038674941345333155
ger_n-plural,drop,5.8746942103832565,1.842439179087376,2.279956068779931,1.3465618833582451,0.6409574468085106,37,1.4389185110727947,0.6611570247933884,7,250,20,2,0.47435206052691703
ger_n-plural,group,5.8746942103832565,1.842439179087376,2.279956068779931,1.3195006644472163,0.6622340425531915,10,1.3675092803545235,0.6528925619834711,61,254,6,2,0.39866025489479484
